Subject,TrialIdx,PeriodType,EncodingObjectPosition_X,EncodingObjectPosition_Y,EncodingPlayerStartingPosition_X,EncodingPlayerStartingPosition_Y,Object,Performance
27,1.0,encoding,-1.1,-4.5,-5.4,-8.5,Dog,
27,1.0,encoding,0.2,6.5,-5.4,-8.5,Bird,
27,1.0,allocentric retrieval,0.2,6.5,-5.4,-8.5,Bird,0.93344307
27,1.0,allocentric retrieval,-1.1,-4.5,-5.4,-8.5,Dog,0.9019291
27,1.0,egocentric retrieval,0.2,6.5,-5.4,-8.5,Bird,0.8278852
27,1.0,egocentric retrieval,-1.1,-4.5,-5.4,-8.5,Dog,0.97950802
27,2.0,encoding,7.4,-3.4,0.8,4.3,Elephant,
27,2.0,encoding,-8.4,0.1,0.8,4.3,Penguin,
27,2.0,egocentric retrieval,7.4,-3.4,0.8,4.3,Elephant,0.94826705
27,2.0,egocentric retrieval,-8.4,0.1,0.8,4.3,Penguin,0.8949441
27,2.0,allocentric retrieval,7.4,-3.4,0.8,4.3,Elephant,0.6887213
27,2.0,allocentric retrieval,-8.4,0.1,0.8,4.3,Penguin,0.8927771
27,3.0,encoding,7.2,7.8,1.0,7.2,Pug,
27,3.0,encoding,-3.0,-2.8,1.0,7.2,Rhino,
27,3.0,allocentric retrieval,7.2,7.8,1.0,7.2,Pug,0.995582005
27,3.0,allocentric retrieval,-3.0,-2.8,1.0,7.2,Rhino,0.6738043
27,3.0,egocentric retrieval,7.2,7.8,1.0,7.2,Pug,0.5967974
27,3.0,egocentric retrieval,-3.0,-2.8,1.0,7.2,Rhino,0.1524307999999999
27,4.0,encoding,-4.6,-3.6,-5.8,5.2,Rhino,
27,4.0,encoding,5.5,8.1,-5.8,5.2,Pug,
27,4.0,egocentric retrieval,5.5,8.1,-5.8,5.2,Pug,0.4602345
27,4.0,egocentric retrieval,-4.6,-3.6,-5.8,5.2,Rhino,0.91652908
27,4.0,allocentric retrieval,5.5,8.1,-5.8,5.2,Pug,0.98399302
27,4.0,allocentric retrieval,-4.6,-3.6,-5.8,5.2,Rhino,0.90565909
27,5.0,encoding,-7.0,5.2,1.1,9.0,Penguin,
27,5.0,encoding,7.8,-4.2,1.1,9.0,Elephant,
27,5.0,allocentric retrieval,-7.0,5.2,1.1,9.0,Penguin,0.995115005
27,5.0,allocentric retrieval,7.8,-4.2,1.1,9.0,Elephant,0.5962094
27,5.0,egocentric retrieval,-7.0,5.2,1.1,9.0,Penguin,0.8914591000000001
27,5.0,egocentric retrieval,7.8,-4.2,1.1,9.0,Elephant,0.8442632
27,6.0,encoding,0.9,6.0,7.3,-6.1,Bird,
27,6.0,encoding,-2.6,-4.6,7.3,-6.1,Dog,
27,6.0,egocentric retrieval,0.9,6.0,7.3,-6.1,Bird,0.96470904
27,6.0,egocentric retrieval,-2.6,-4.6,7.3,-6.1,Dog,0.93273906
27,6.0,allocentric retrieval,0.9,6.0,7.3,-6.1,Bird,0.3374287
27,6.0,allocentric retrieval,-2.6,-4.6,7.3,-6.1,Dog,0.8773531
27,7.0,encoding,7.1,-5.5,-4.4,-7.2,Pug,
27,7.0,encoding,2.1,6.6,-4.4,-7.2,Bird,
27,7.0,allocentric retrieval,2.1,6.6,-4.4,-7.2,Bird,0.994250006
27,7.0,allocentric retrieval,7.1,-5.5,-4.4,-7.2,Pug,0.96150704
27,7.0,egocentric retrieval,2.1,6.6,-4.4,-7.2,Bird,0.7216363
27,7.0,egocentric retrieval,7.1,-5.5,-4.4,-7.2,Pug,0.2798867
27,8.0,encoding,-4.4,-4.0,6.5,-8.8,Rhino,
27,8.0,encoding,3.1,4.3,6.5,-8.8,Penguin,
27,8.0,egocentric retrieval,-4.4,-4.0,6.5,-8.8,Rhino,0.7921552000000001
27,8.0,egocentric retrieval,3.1,4.3,6.5,-8.8,Penguin,0.1246768999999999
27,8.0,allocentric retrieval,3.1,4.3,6.5,-8.8,Penguin,0.4665926
27,8.0,allocentric retrieval,-4.4,-4.0,6.5,-8.8,Rhino,0.4445875
27,9.0,encoding,-4.3,2.0,2.4,8.1,Dog,
27,9.0,encoding,7.5,-2.4,2.4,8.1,Elephant,
27,9.0,allocentric retrieval,-4.3,2.0,2.4,8.1,Dog,0.7175602999999999
27,9.0,allocentric retrieval,7.5,-2.4,2.4,8.1,Elephant,0.6732563
27,9.0,egocentric retrieval,-4.3,2.0,2.4,8.1,Dog,0.8641051
27,9.0,egocentric retrieval,7.5,-2.4,2.4,8.1,Elephant,0.7107703000000001
27,10.0,encoding,6.4,-4.3,-3.5,-3.1,Elephant,
27,10.0,encoding,-1.5,4.2,-3.5,-3.1,Penguin,
27,10.0,egocentric retrieval,6.4,-4.3,-3.5,-3.1,Elephant,0.7588912
27,10.0,egocentric retrieval,-1.5,4.2,-3.5,-3.1,Penguin,0.2937757
27,10.0,allocentric retrieval,6.4,-4.3,-3.5,-3.1,Elephant,0.90584309
27,10.0,allocentric retrieval,-1.5,4.2,-3.5,-3.1,Penguin,0.8462282
27,11.0,encoding,6.7,-1.2,-8.9,-6.1,Pug,
27,11.0,encoding,-3.7,-2.1,-8.9,-6.1,Rhino,
27,11.0,allocentric retrieval,6.7,-1.2,-8.9,-6.1,Pug,0.7359773000000001
27,11.0,allocentric retrieval,-3.7,-2.1,-8.9,-6.1,Rhino,0.7703952000000001
27,11.0,egocentric retrieval,-3.7,-2.1,-8.9,-6.1,Rhino,0.3943976
27,11.0,egocentric retrieval,6.7,-1.2,-8.9,-6.1,Pug,0.8834441
27,12.0,encoding,2.0,6.2,-0.8,-1.2,Bird,
27,12.0,encoding,-8.2,5.5,-0.8,-1.2,Dog,
27,12.0,egocentric retrieval,-8.2,5.5,-0.8,-1.2,Dog,0.7798322
