Subject,TrialIdx,PeriodType,EncodingObjectPosition_X,EncodingObjectPosition_Y,EncodingPlayerStartingPosition_X,EncodingPlayerStartingPosition_Y,Object,Performance
3,1.0,encoding,-2.2,8.3,-5.9,0.2,Cat,
3,1.0,encoding,6.9,3.0,-5.9,0.2,Dog,
3,1.0,egocentric retrieval,6.9,3.0,-5.9,0.2,Dog,0.0284149999999999
3,1.0,egocentric retrieval,-2.2,8.3,-5.9,0.2,Cat,0.6991632999999999
3,1.0,allocentric retrieval,-2.2,8.3,-5.9,0.2,Cat,0.97015903
3,1.0,allocentric retrieval,6.9,3.0,-5.9,0.2,Dog,0.96777903
3,2.0,encoding,-3.1,3.9,-7.5,-1.9,Camel,
3,2.0,encoding,5.4,-3.3,-7.5,-1.9,Bird,
3,2.0,allocentric retrieval,-3.1,3.9,-7.5,-1.9,Camel,0.8479231
3,2.0,allocentric retrieval,5.4,-3.3,-7.5,-1.9,Bird,0.4302546
3,2.0,egocentric retrieval,-3.1,3.9,-7.5,-1.9,Camel,0.7801282
3,2.0,egocentric retrieval,5.4,-3.3,-7.5,-1.9,Bird,0.8228181999999999
3,3.0,encoding,-8.6,-8.1,-3.4,-5.3,Pug,
3,3.0,encoding,-0.4,1.0,-3.4,-5.3,Pig,
3,3.0,egocentric retrieval,-0.4,1.0,-3.4,-5.3,Pig,0.95140105
3,3.0,egocentric retrieval,-8.6,-8.1,-3.4,-5.3,Pug,0.93535907
3,3.0,allocentric retrieval,-0.4,1.0,-3.4,-5.3,Pig,0.98488702
3,3.0,allocentric retrieval,-8.6,-8.1,-3.4,-5.3,Pug,0.997118003
3,4.0,encoding,-7.5,3.8,-7.7,9.0,Camel,
3,4.0,encoding,-7.1,-7.5,-7.7,9.0,Pug,
3,4.0,allocentric retrieval,-7.1,-7.5,-7.7,9.0,Pug,0.97392803
3,4.0,allocentric retrieval,-7.5,3.8,-7.7,9.0,Camel,0.997066003
3,4.0,egocentric retrieval,-7.1,-7.5,-7.7,9.0,Pug,0.92593707
3,4.0,egocentric retrieval,-7.5,3.8,-7.7,9.0,Camel,0.95776204
3,5.0,encoding,5.1,-1.6,-3.6,8.3,Bird,
3,5.0,encoding,-6.5,3.5,-3.6,8.3,Pig,
3,5.0,egocentric retrieval,5.1,-1.6,-3.6,8.3,Bird,0.5488834
3,5.0,egocentric retrieval,-6.5,3.5,-3.6,8.3,Pig,0.7929082000000001
3,5.0,allocentric retrieval,-6.5,3.5,-3.6,8.3,Pig,0.96817103
3,5.0,allocentric retrieval,5.1,-1.6,-3.6,8.3,Bird,0.8444162
3,6.0,encoding,0.3,-8.0,4.0,-1.6,Dog,
3,6.0,encoding,-3.7,6.8,4.0,-1.6,Cat,
3,6.0,allocentric retrieval,0.3,-8.0,4.0,-1.6,Dog,0.8973491
3,6.0,allocentric retrieval,-3.7,6.8,4.0,-1.6,Cat,0.95485704
3,6.0,egocentric retrieval,0.3,-8.0,4.0,-1.6,Dog,0.3093147
3,6.0,egocentric retrieval,-3.7,6.8,4.0,-1.6,Cat,0.4017446
3,7.0,encoding,4.5,-3.0,-8.3,-8.1,Bird,
3,7.0,encoding,-8.0,2.7,-8.3,-8.1,Dog,
3,7.0,egocentric retrieval,-8.0,2.7,-8.3,-8.1,Dog,0.7237952999999999
3,7.0,egocentric retrieval,4.5,-3.0,-8.3,-8.1,Bird,0.6481504
3,7.0,allocentric retrieval,4.5,-3.0,-8.3,-8.1,Bird,0.2055177999999999
3,7.0,allocentric retrieval,-8.0,2.7,-8.3,-8.1,Dog,0.95575104
3,8.0,encoding,7.5,-3.3,-8.2,-8.2,Camel,
3,8.0,encoding,-3.4,6.6,-8.2,-8.2,Cat,
3,8.0,allocentric retrieval,-3.4,6.6,-8.2,-8.2,Cat,0.94393406
3,8.0,allocentric retrieval,7.5,-3.3,-8.2,-8.2,Camel,0.8336942
3,8.0,egocentric retrieval,7.5,-3.3,-8.2,-8.2,Camel,0.98393602
3,8.0,egocentric retrieval,-3.4,6.6,-8.2,-8.2,Cat,0.6443104
3,9.0,encoding,-8.1,-9.2,8.0,-1.6,Pug,
3,9.0,encoding,-7.4,5.9,8.0,-1.6,Pig,
3,9.0,egocentric retrieval,-8.1,-9.2,8.0,-1.6,Pug,0.992181008
3,9.0,egocentric retrieval,-7.4,5.9,8.0,-1.6,Pig,0.994497005
3,9.0,allocentric retrieval,-8.1,-9.2,8.0,-1.6,Pug,0.9991140009
3,9.0,allocentric retrieval,-7.4,5.9,8.0,-1.6,Pig,0.93984806
3,10.0,encoding,-5.7,5.9,5.0,7.0,Pig,
3,10.0,encoding,4.9,-1.6,5.0,7.0,Bird,
3,10.0,allocentric retrieval,-5.7,5.9,5.0,7.0,Pig,0.96167704
3,10.0,allocentric retrieval,4.9,-1.6,5.0,7.0,Bird,0.8858831
3,10.0,egocentric retrieval,4.9,-1.6,5.0,7.0,Bird,0.1167939
3,10.0,egocentric retrieval,-5.7,5.9,5.0,7.0,Pig,0.7595772000000001
3,11.0,encoding,-3.1,7.6,-4.4,2.3,Cat,
3,11.0,encoding,-1.4,-3.6,-4.4,2.3,Camel,
3,11.0,egocentric retrieval,-1.4,-3.6,-4.4,2.3,Camel,0.991173008
3,11.0,egocentric retrieval,-3.1,7.6,-4.4,2.3,Cat,0.3808276
3,11.0,allocentric retrieval,-3.1,7.6,-4.4,2.3,Cat,0.2526146999999999
3,11.0,allocentric retrieval,-1.4,-3.6,-4.4,2.3,Camel,0.91527309
3,12.0,encoding,1.1,6.1,8.2,1.4,Dog,
3,12.0,encoding,-7.6,-7.4,8.2,1.4,Pug,
3,12.0,allocentric retrieval,1.1,6.1,8.2,1.4,Dog,0.96617004
3,12.0,allocentric retrieval,-7.6,-7.4,8.2,1.4,Pug,0.98044802
3,12.0,egocentric retrieval,-7.6,-7.4,8.2,1.4,Pug,0.8284852
3,12.0,egocentric retrieval,1.1,6.1,8.2,1.4,Dog,0.8796151
3,13.0,encoding,-2.5,8.0,4.0,-6.9,Cat,
3,13.0,encoding,-1.1,-7.2,4.0,-6.9,Pig,
3,13.0,egocentric retrieval,-1.1,-7.2,4.0,-6.9,Pig,0.92521208
3,13.0,egocentric retrieval,-2.5,8.0,4.0,-6.9,Cat,0.96058704
3,13.0,allocentric retrieval,-2.5,8.0,4.0,-6.9,Cat,0.6799683000000001
3,13.0,allocentric retrieval,-1.1,-7.2,4.0,-6.9,Pig,0.94750905
3,14.0,encoding,-7.2,-0.3,-1.7,-2.6,Camel,
3,14.0,encoding,4.5,-1.7,-1.7,-2.6,Bird,
3,14.0,allocentric retrieval,4.5,-1.7,-1.7,-2.6,Bird,0.992290008
3,14.0,allocentric retrieval,-7.2,-0.3,-1.7,-2.6,Camel,0.93414506
3,14.0,egocentric retrieval,-7.2,-0.3,-1.7,-2.6,Camel,0.8106561999999999
3,14.0,egocentric retrieval,4.5,-1.7,-1.7,-2.6,Bird,0.97411503
3,15.0,encoding,-8.4,-8.4,5.1,-6.5,Pug,
3,15.0,encoding,1.8,8.2,5.1,-6.5,Dog,
3,15.0,egocentric retrieval,1.8,8.2,5.1,-6.5,Dog,0.91009609
3,15.0,egocentric retrieval,-8.4,-8.4,5.1,-6.5,Pug,0.8679491
3,15.0,allocentric retrieval,1.8,8.2,5.1,-6.5,Dog,0.995964004
3,15.0,allocentric retrieval,-8.4,-8.4,5.1,-6.5,Pug,0.9993030007
3,16.0,encoding,6.0,0.0,2.5,7.8,Dog,
3,16.0,encoding,-2.5,7.1,2.5,7.8,Cat,
3,16.0,allocentric retrieval,-2.5,7.1,2.5,7.8,Cat,0.96096004
3,16.0,allocentric retrieval,6.0,0.0,2.5,7.8,Dog,0.92967907
3,16.0,egocentric retrieval,-2.5,7.1,2.5,7.8,Cat,0.99001501
3,16.0,egocentric retrieval,6.0,0.0,2.5,7.8,Dog,0.97816502
3,17.0,encoding,5.6,-1.8,7.0,7.0,Bird,
3,17.0,encoding,-7.1,-3.6,7.0,7.0,Camel,
3,17.0,egocentric retrieval,-7.1,-3.6,7.0,7.0,Camel,0.8541662
3,17.0,egocentric retrieval,5.6,-1.8,7.0,7.0,Bird,0.93343306
3,17.0,allocentric retrieval,-7.1,-3.6,7.0,7.0,Camel,0.2027128
3,17.0,allocentric retrieval,5.6,-1.8,7.0,7.0,Bird,0.2454988
3,18.0,encoding,3.4,0.0,-3.1,-6.2,Pig,
3,18.0,encoding,-8.5,-8.8,-3.1,-6.2,Pug,
3,18.0,allocentric retrieval,3.4,0.0,-3.1,-6.2,Pig,0.94295706
3,18.0,allocentric retrieval,-8.5,-8.8,-3.1,-6.2,Pug,0.97998102
3,18.0,egocentric retrieval,-8.5,-8.8,-3.1,-6.2,Pug,0.7958972
3,18.0,egocentric retrieval,3.4,0.0,-3.1,-6.2,Pig,0.91898408
3,19.0,encoding,-8.7,-7.5,8.2,-6.1,Pug,
3,19.0,encoding,1.4,2.1,8.2,-6.1,Camel,
3,19.0,egocentric retrieval,1.4,2.1,8.2,-6.1,Camel,0.8563481
3,19.0,egocentric retrieval,-8.7,-7.5,8.2,-6.1,Pug,0.9002851000000001
3,19.0,allocentric retrieval,1.4,2.1,8.2,-6.1,Camel,0.91759108
3,19.0,allocentric retrieval,-8.7,-7.5,8.2,-6.1,Pug,0.95248405
3,20.0,encoding,-2.7,-3.0,-8.2,4.0,Pig,
3,20.0,encoding,-3.3,7.2,-8.2,4.0,Cat,
3,20.0,allocentric retrieval,-2.7,-3.0,-8.2,4.0,Pig,0.8814661
3,20.0,allocentric retrieval,-3.3,7.2,-8.2,4.0,Cat,0.91412608
3,20.0,egocentric retrieval,-2.7,-3.0,-8.2,4.0,Pig,0.93211406
3,20.0,egocentric retrieval,-3.3,7.2,-8.2,4.0,Cat,0.97981202
3,21.0,encoding,4.3,-3.2,2.2,6.4,Bird,
3,21.0,encoding,-6.4,-6.7,2.2,6.4,Dog,
3,21.0,egocentric retrieval,-6.4,-6.7,2.2,6.4,Dog,0.7236673
3,21.0,egocentric retrieval,4.3,-3.2,2.2,6.4,Bird,0.93706106
3,21.0,allocentric retrieval,4.3,-3.2,2.2,6.4,Bird,0.98794301
3,21.0,allocentric retrieval,-6.4,-6.7,2.2,6.4,Dog,0.8855561
3,22.0,encoding,5.7,1.2,-8.4,0.4,Dog,
3,22.0,encoding,-3.1,6.9,-8.4,0.4,Cat,
