Subject,TrialIdx,PeriodType,EncodingObjectPosition_X,EncodingObjectPosition_Y,EncodingPlayerStartingPosition_X,EncodingPlayerStartingPosition_Y,Object,Performance
20,1.0,encoding,4.2,7.3,-1.1,4.4,Leopard,
20,1.0,encoding,8.3,-4.8,-1.1,4.4,Camel,
20,1.0,allocentric retrieval,8.3,-4.8,-1.1,4.4,Camel,0.98048602
20,1.0,allocentric retrieval,4.2,7.3,-1.1,4.4,Leopard,0.94525205
20,1.0,egocentric retrieval,4.2,7.3,-1.1,4.4,Leopard,0.94324106
20,1.0,egocentric retrieval,8.3,-4.8,-1.1,4.4,Camel,0.9017011
20,2.0,encoding,-4.6,-1.1,2.0,3.9,Bird,
20,2.0,encoding,7.7,5.0,2.0,3.9,Chicken,
20,2.0,egocentric retrieval,7.7,5.0,2.0,3.9,Chicken,0.8524811
20,2.0,egocentric retrieval,-4.6,-1.1,2.0,3.9,Bird,0.94938605
20,2.0,allocentric retrieval,-4.6,-1.1,2.0,3.9,Bird,0.96491604
20,2.0,allocentric retrieval,7.7,5.0,2.0,3.9,Chicken,0.94608305
20,3.0,encoding,-7.4,-8.0,-2.8,0.4,Rhino,
20,3.0,encoding,1.0,8.4,-2.8,0.4,Elephant,
20,3.0,allocentric retrieval,-7.4,-8.0,-2.8,0.4,Rhino,0.98671901
20,3.0,allocentric retrieval,1.0,8.4,-2.8,0.4,Elephant,0.97365103
20,3.0,egocentric retrieval,1.0,8.4,-2.8,0.4,Elephant,0.92761907
20,3.0,egocentric retrieval,-7.4,-8.0,-2.8,0.4,Rhino,0.97932802
20,4.0,encoding,8.1,-5.9,-7.0,0.1,Camel,
20,4.0,encoding,-0.4,1.2,-7.0,0.1,Rhino,
20,4.0,egocentric retrieval,-0.4,1.2,-7.0,0.1,Rhino,0.94653905
20,4.0,egocentric retrieval,8.1,-5.9,-7.0,0.1,Camel,0.92834107
20,4.0,allocentric retrieval,-0.4,1.2,-7.0,0.1,Rhino,0.95711804
20,4.0,allocentric retrieval,8.1,-5.9,-7.0,0.1,Camel,0.997037003
20,5.0,encoding,7.4,1.2,-6.3,6.4,Chicken,
20,5.0,encoding,-5.4,-1.3,-6.3,6.4,Bird,
20,5.0,allocentric retrieval,7.4,1.2,-6.3,6.4,Chicken,0.991266008
20,5.0,allocentric retrieval,-5.4,-1.3,-6.3,6.4,Bird,0.97589202
20,5.0,egocentric retrieval,-5.4,-1.3,-6.3,6.4,Bird,0.6073573999999999
20,5.0,egocentric retrieval,7.4,1.2,-6.3,6.4,Chicken,0.4294346
20,6.0,encoding,0.2,7.9,3.8,-1.1,Elephant,
20,6.0,encoding,-7.9,-4.5,3.8,-1.1,Leopard,
20,6.0,egocentric retrieval,0.2,7.9,3.8,-1.1,Elephant,0.998943001
20,6.0,egocentric retrieval,-7.9,-4.5,3.8,-1.1,Leopard,0.96411604
20,6.0,allocentric retrieval,0.2,7.9,3.8,-1.1,Elephant,0.994577006
20,6.0,allocentric retrieval,-7.9,-4.5,3.8,-1.1,Leopard,0.97898902
20,7.0,encoding,0.5,6.1,6.1,1.6,Rhino,
20,7.0,encoding,7.7,-4.5,6.1,1.6,Camel,
20,7.0,allocentric retrieval,7.7,-4.5,6.1,1.6,Camel,0.0682549
20,7.0,allocentric retrieval,0.5,6.1,6.1,1.6,Rhino,0.98886601
20,7.0,egocentric retrieval,0.5,6.1,6.1,1.6,Rhino,0.92703607
20,7.0,egocentric retrieval,7.7,-4.5,6.1,1.6,Camel,0.98212302
20,8.0,encoding,0.7,7.5,8.6,-0.4,Elephant,
20,8.0,encoding,-4.9,-6.8,8.6,-0.4,Leopard,
20,8.0,egocentric retrieval,0.7,7.5,8.6,-0.4,Elephant,0.96698903
20,8.0,egocentric retrieval,-4.9,-6.8,8.6,-0.4,Leopard,0.7624451999999999
20,8.0,allocentric retrieval,0.7,7.5,8.6,-0.4,Elephant,0.995755004
20,8.0,allocentric retrieval,-4.9,-6.8,8.6,-0.4,Leopard,0.91774608
20,9.0,encoding,6.2,-1.3,-5.2,7.6,Chicken,
20,9.0,encoding,-5.2,-2.7,-5.2,7.6,Bird,
20,9.0,allocentric retrieval,6.2,-1.3,-5.2,7.6,Chicken,0.8618001
20,9.0,allocentric retrieval,-5.2,-2.7,-5.2,7.6,Bird,0.95165205
20,9.0,egocentric retrieval,6.2,-1.3,-5.2,7.6,Chicken,0.7559511999999999
20,9.0,egocentric retrieval,-5.2,-2.7,-5.2,7.6,Bird,0.95052605
20,10.0,encoding,-4.5,-2.1,0.1,-8.5,Bird,
20,10.0,encoding,6.4,-3.2,0.1,-8.5,Leopard,
20,10.0,egocentric retrieval,6.4,-3.2,0.1,-8.5,Leopard,0.96286404
20,10.0,egocentric retrieval,-4.5,-2.1,0.1,-8.5,Bird,0.96834103
20,10.0,allocentric retrieval,6.4,-3.2,0.1,-8.5,Leopard,0.92384508
20,10.0,allocentric retrieval,-4.5,-2.1,0.1,-8.5,Bird,0.93211007
20,11.0,encoding,-4.7,1.8,2.7,-7.5,Chicken,
20,11.0,encoding,7.8,-5.8,2.7,-7.5,Camel,
20,11.0,allocentric retrieval,-4.7,1.8,2.7,-7.5,Chicken,0.95670904
20,11.0,allocentric retrieval,7.8,-5.8,2.7,-7.5,Camel,0.991335008
20,11.0,egocentric retrieval,-4.7,1.8,2.7,-7.5,Chicken,0.998844001
20,11.0,egocentric retrieval,7.8,-5.8,2.7,-7.5,Camel,0.93449006
20,12.0,encoding,0.6,9.2,-6.8,0.3,Elephant,
20,12.0,encoding,-1.1,-6.2,-6.8,0.3,Rhino,
20,12.0,egocentric retrieval,0.6,9.2,-6.8,0.3,Elephant,0.7679362000000001
20,12.0,egocentric retrieval,-1.1,-6.2,-6.8,0.3,Rhino,0.8033551999999999
20,12.0,allocentric retrieval,-1.1,-6.2,-6.8,0.3,Rhino,0.98370102
20,12.0,allocentric retrieval,0.6,9.2,-6.8,0.3,Elephant,0.98522802
20,13.0,encoding,-5.8,7.9,3.5,0.5,Rhino,
20,13.0,encoding,8.2,-4.6,3.5,0.5,Camel,
20,13.0,allocentric retrieval,8.2,-4.6,3.5,0.5,Camel,0.92605907
20,13.0,allocentric retrieval,-5.8,7.9,3.5,0.5,Rhino,0.95923104
20,13.0,egocentric retrieval,-5.8,7.9,3.5,0.5,Rhino,0.98128902
20,13.0,egocentric retrieval,8.2,-4.6,3.5,0.5,Camel,0.8791691
20,14.0,encoding,1.0,9.0,-1.1,-5.7,Elephant,
20,14.0,encoding,3.5,-7.9,-1.1,-5.7,Leopard,
20,14.0,egocentric retrieval,1.0,9.0,-1.1,-5.7,Elephant,0.8344632
20,14.0,egocentric retrieval,3.5,-7.9,-1.1,-5.7,Leopard,0.93693906
20,14.0,allocentric retrieval,1.0,9.0,-1.1,-5.7,Elephant,0.998886001
20,14.0,allocentric retrieval,3.5,-7.9,-1.1,-5.7,Leopard,0.94364406
20,15.0,encoding,5.8,-7.9,4.2,-3.0,Chicken,
20,15.0,encoding,-4.8,-1.5,4.2,-3.0,Bird,
20,15.0,allocentric retrieval,-4.8,-1.5,4.2,-3.0,Bird,0.94848305
20,15.0,allocentric retrieval,5.8,-7.9,4.2,-3.0,Chicken,0.98847701
20,15.0,egocentric retrieval,5.8,-7.9,4.2,-3.0,Chicken,0.94247406
20,15.0,egocentric retrieval,-4.8,-1.5,4.2,-3.0,Bird,0.95343905
20,16.0,encoding,8.8,-5.8,-6.8,1.6,Camel,
20,16.0,encoding,-3.8,6.6,-6.8,1.6,Leopard,
20,16.0,egocentric retrieval,8.8,-5.8,-6.8,1.6,Camel,0.95667104
20,16.0,egocentric retrieval,-3.8,6.6,-6.8,1.6,Leopard,0.98114002
20,16.0,allocentric retrieval,-3.8,6.6,-6.8,1.6,Leopard,0.95649704
20,16.0,allocentric retrieval,8.8,-5.8,-6.8,1.6,Camel,0.98996201
20,17.0,encoding,-2.7,-3.8,3.3,-1.3,Chicken,
20,17.0,encoding,0.4,8.4,3.3,-1.3,Elephant,
20,17.0,allocentric retrieval,-2.7,-3.8,3.3,-1.3,Chicken,0.8591041
20,17.0,allocentric retrieval,0.4,8.4,3.3,-1.3,Elephant,0.97929102
20,17.0,egocentric retrieval,0.4,8.4,3.3,-1.3,Elephant,0.8011572
20,17.0,egocentric retrieval,-2.7,-3.8,3.3,-1.3,Chicken,0.993451007
20,18.0,encoding,-5.7,-2.0,8.3,5.2,Bird,
20,18.0,encoding,3.0,7.2,8.3,5.2,Rhino,
20,18.0,egocentric retrieval,-5.7,-2.0,8.3,5.2,Bird,0.98151502
20,18.0,egocentric retrieval,3.0,7.2,8.3,5.2,Rhino,0.95613804
20,18.0,allocentric retrieval,-5.7,-2.0,8.3,5.2,Bird,0.95245505
20,18.0,allocentric retrieval,3.0,7.2,8.3,5.2,Rhino,0.98416202
20,19.0,encoding,1.6,4.9,2.3,-2.2,Chicken,
20,19.0,encoding,8.2,-4.8,2.3,-2.2,Camel,
20,19.0,allocentric retrieval,1.6,4.9,2.3,-2.2,Chicken,0.91017309
20,19.0,allocentric retrieval,8.2,-4.8,2.3,-2.2,Camel,0.993808006
20,19.0,egocentric retrieval,8.2,-4.8,2.3,-2.2,Camel,0.94580206
20,19.0,egocentric retrieval,1.6,4.9,2.3,-2.2,Chicken,0.98492001
20,20.0,encoding,-5.4,-1.3,2.5,-7.7,Bird,
20,20.0,encoding,5.1,-3.1,2.5,-7.7,Rhino,
20,20.0,egocentric retrieval,-5.4,-1.3,2.5,-7.7,Bird,0.97951802
20,20.0,egocentric retrieval,5.1,-3.1,2.5,-7.7,Rhino,0.7921052
20,20.0,allocentric retrieval,5.1,-3.1,2.5,-7.7,Rhino,0.91033509
20,20.0,allocentric retrieval,-5.4,-1.3,2.5,-7.7,Bird,0.98937401
20,21.0,encoding,-1.9,-3.1,6.5,8.0,Leopard,
20,21.0,encoding,0.7,8.0,6.5,8.0,Elephant,
20,21.0,allocentric retrieval,0.7,8.0,6.5,8.0,Elephant,0.993323007
20,21.0,allocentric retrieval,-1.9,-3.1,6.5,8.0,Leopard,0.7866862
20,21.0,egocentric retrieval,-1.9,-3.1,6.5,8.0,Leopard,0.93910006
20,21.0,egocentric retrieval,0.7,8.0,6.5,8.0,Elephant,0.997484002
20,22.0,encoding,-5.1,-1.8,-3.8,-7.5,Bird,
20,22.0,encoding,8.1,6.7,-3.8,-7.5,Rhino,
20,22.0,egocentric retrieval,8.1,6.7,-3.8,-7.5,Rhino,0.98734201
20,22.0,egocentric retrieval,-5.1,-1.8,-3.8,-7.5,Bird,0.97973502
20,22.0,allocentric retrieval,8.1,6.7,-3.8,-7.5,Rhino,0.998664001
20,22.0,allocentric retrieval,-5.1,-1.8,-3.8,-7.5,Bird,0.97458602
20,23.0,encoding,4.1,-6.7,-7.6,-7.0,Chicken,
20,23.0,encoding,1.7,8.5,-7.6,-7.0,Elephant,
20,23.0,allocentric retrieval,1.7,8.5,-7.6,-7.0,Elephant,0.98481402
20,23.0,allocentric retrieval,4.1,-6.7,-7.6,-7.0,Chicken,0.94183906
20,23.0,egocentric retrieval,4.1,-6.7,-7.6,-7.0,Chicken,0.7938752
20,23.0,egocentric retrieval,1.7,8.5,-7.6,-7.0,Elephant,0.8978441
20,24.0,encoding,8.8,-4.6,-4.3,6.2,Camel,
20,24.0,encoding,-1.3,-7.5,-4.3,6.2,Leopard,
20,24.0,egocentric retrieval,8.8,-4.6,-4.3,6.2,Camel,0.94582205
20,24.0,egocentric retrieval,-1.3,-7.5,-4.3,6.2,Leopard,0.7195503
20,24.0,allocentric retrieval,8.8,-4.6,-4.3,6.2,Camel,0.97421203
20,24.0,allocentric retrieval,-1.3,-7.5,-4.3,6.2,Leopard,0.7817102
20,25.0,encoding,6.1,2.6,8.7,-8.6,Leopard,
20,25.0,encoding,-3.8,-2.2,8.7,-8.6,Bird,
20,25.0,allocentric retrieval,-3.8,-2.2,8.7,-8.6,Bird,0.92126908
20,25.0,allocentric retrieval,6.1,2.6,8.7,-8.6,Leopard,0.95095105
20,25.0,egocentric retrieval,-3.8,-2.2,8.7,-8.6,Bird,0.98847801
20,25.0,egocentric retrieval,6.1,2.6,8.7,-8.6,Leopard,0.96722303
20,26.0,encoding,1.7,8.6,-1.9,3.4,Elephant,
20,26.0,encoding,1.5,-3.6,-1.9,3.4,Rhino,
20,26.0,egocentric retrieval,1.5,-3.6,-1.9,3.4,Rhino,0.998144002
20,26.0,egocentric retrieval,1.7,8.6,-1.9,3.4,Elephant,0.97570902
20,26.0,allocentric retrieval,1.7,8.6,-1.9,3.4,Elephant,0.98759801
20,26.0,allocentric retrieval,1.5,-3.6,-1.9,3.4,Rhino,0.7352883
20,27.0,encoding,4.1,4.8,-3.1,4.7,Chicken,
20,27.0,encoding,9.1,-4.3,-3.1,4.7,Camel,
20,27.0,allocentric retrieval,4.1,4.8,-3.1,4.7,Chicken,0.92935307
20,27.0,allocentric retrieval,9.1,-4.3,-3.1,4.7,Camel,0.95740004
20,27.0,egocentric retrieval,9.1,-4.3,-3.1,4.7,Camel,0.93680006
20,27.0,egocentric retrieval,4.1,4.8,-3.1,4.7,Chicken,0.98255402
20,28.0,encoding,0.3,7.7,-6.4,7.3,Elephant,
20,28.0,encoding,-0.1,-4.2,-6.4,7.3,Rhino,
20,28.0,egocentric retrieval,0.3,7.7,-6.4,7.3,Elephant,0.991727008
20,28.0,egocentric retrieval,-0.1,-4.2,-6.4,7.3,Rhino,0.91826008
20,28.0,allocentric retrieval,-0.1,-4.2,-6.4,7.3,Rhino,0.93785406
20,28.0,allocentric retrieval,0.3,7.7,-6.4,7.3,Elephant,0.98204102
20,29.0,encoding,-7.0,-1.7,-2.0,-0.2,Chicken,
20,29.0,encoding,7.8,-4.6,-2.0,-0.2,Camel,
20,29.0,allocentric retrieval,7.8,-4.6,-2.0,-0.2,Camel,0.97832802
20,29.0,allocentric retrieval,-7.0,-1.7,-2.0,-0.2,Chicken,0.98030702
20,29.0,egocentric retrieval,-7.0,-1.7,-2.0,-0.2,Chicken,0.97883202
20,29.0,egocentric retrieval,7.8,-4.6,-2.0,-0.2,Camel,0.95768604
20,30.0,encoding,-4.6,-1.4,1.0,-5.1,Bird,
20,30.0,encoding,7.0,8.1,1.0,-5.1,Leopard,
20,30.0,egocentric retrieval,7.0,8.1,1.0,-5.1,Leopard,0.0765869
20,30.0,egocentric retrieval,-4.6,-1.4,1.0,-5.1,Bird,0.7995251999999999
20,30.0,allocentric retrieval,-4.6,-1.4,1.0,-5.1,Bird,0.8368322
20,30.0,allocentric retrieval,7.0,8.1,1.0,-5.1,Leopard,0.993834006
20,31.0,encoding,6.7,4.4,-0.6,3.0,Chicken,
20,31.0,encoding,8.5,-6.0,-0.6,3.0,Camel,
20,31.0,allocentric retrieval,6.7,4.4,-0.6,3.0,Chicken,0.93522207
20,31.0,allocentric retrieval,8.5,-6.0,-0.6,3.0,Camel,0.98266502
20,31.0,egocentric retrieval,6.7,4.4,-0.6,3.0,Chicken,0.997054003
20,31.0,egocentric retrieval,8.5,-6.0,-0.6,3.0,Camel,0.8597361
20,32.0,encoding,-5.7,-1.1,-3.1,7.5,Bird,
20,32.0,encoding,5.8,0.8,-3.1,7.5,Leopard,
20,32.0,egocentric retrieval,5.8,0.8,-3.1,7.5,Leopard,0.991819008
20,32.0,egocentric retrieval,-5.7,-1.1,-3.1,7.5,Bird,0.94602706
20,32.0,allocentric retrieval,5.8,0.8,-3.1,7.5,Leopard,0.96742103
20,32.0,allocentric retrieval,-5.7,-1.1,-3.1,7.5,Bird,0.95799304
20,33.0,encoding,0.3,-7.6,-7.0,0.4,Rhino,
20,33.0,encoding,1.6,8.9,-7.0,0.4,Elephant,
20,33.0,allocentric retrieval,1.6,8.9,-7.0,0.4,Elephant,0.991926008
20,33.0,allocentric retrieval,0.3,-7.6,-7.0,0.4,Rhino,0.997015003
20,33.0,egocentric retrieval,1.6,8.9,-7.0,0.4,Elephant,0.7436533000000001
20,33.0,egocentric retrieval,0.3,-7.6,-7.0,0.4,Rhino,0.98847201
20,34.0,encoding,1.7,7.6,4.3,2.0,Elephant,
20,34.0,encoding,2.6,-3.7,4.3,2.0,Chicken,
20,34.0,egocentric retrieval,2.6,-3.7,4.3,2.0,Chicken,0.994371006
20,34.0,egocentric retrieval,1.7,7.6,4.3,2.0,Elephant,0.97605202
20,34.0,allocentric retrieval,1.7,7.6,4.3,2.0,Elephant,0.997040003
20,34.0,allocentric retrieval,2.6,-3.7,4.3,2.0,Chicken,0.7926682
20,35.0,encoding,-8.2,8.1,-6.8,-8.7,Leopard,
20,35.0,encoding,-4.6,-2.5,-6.8,-8.7,Bird,
20,35.0,allocentric retrieval,-8.2,8.1,-6.8,-8.7,Leopard,0.993035007
20,35.0,allocentric retrieval,-4.6,-2.5,-6.8,-8.7,Bird,0.8332752
20,35.0,egocentric retrieval,-8.2,8.1,-6.8,-8.7,Leopard,0.94181306
20,35.0,egocentric retrieval,-4.6,-2.5,-6.8,-8.7,Bird,0.93538707
20,36.0,encoding,8.7,-5.1,6.7,7.7,Camel,
20,36.0,encoding,-6.9,5.9,6.7,7.7,Rhino,
20,36.0,egocentric retrieval,8.7,-5.1,6.7,7.7,Camel,0.996014004
20,36.0,egocentric retrieval,-6.9,5.9,6.7,7.7,Rhino,0.98885501
20,36.0,allocentric retrieval,-6.9,5.9,6.7,7.7,Rhino,0.98407802
20,36.0,allocentric retrieval,8.7,-5.1,6.7,7.7,Camel,0.96456204
20,37.0,encoding,6.3,5.7,-1.3,6.7,Leopard,
20,37.0,encoding,-5.5,-2.0,-1.3,6.7,Bird,
20,37.0,allocentric retrieval,6.3,5.7,-1.3,6.7,Leopard,0.95707504
20,37.0,allocentric retrieval,-5.5,-2.0,-1.3,6.7,Bird,0.91210908
20,37.0,egocentric retrieval,6.3,5.7,-1.3,6.7,Leopard,0.995791004
20,37.0,egocentric retrieval,-5.5,-2.0,-1.3,6.7,Bird,0.6136383999999999
20,38.0,encoding,8.1,-4.8,5.2,7.1,Camel,
20,38.0,encoding,-1.1,0.1,5.2,7.1,Rhino,
20,38.0,egocentric retrieval,-1.1,0.1,5.2,7.1,Rhino,0.5494783999999999
20,38.0,egocentric retrieval,8.1,-4.8,5.2,7.1,Camel,0.8843001
20,38.0,allocentric retrieval,-1.1,0.1,5.2,7.1,Rhino,0.94134806
20,38.0,allocentric retrieval,8.1,-4.8,5.2,7.1,Camel,0.97276503
20,39.0,encoding,7.1,-7.0,-8.7,-1.7,Chicken,
20,39.0,encoding,0.7,9.0,-8.7,-1.7,Elephant,
20,39.0,allocentric retrieval,0.7,9.0,-8.7,-1.7,Elephant,0.97536702
20,39.0,allocentric retrieval,7.1,-7.0,-8.7,-1.7,Chicken,0.98474701
20,39.0,egocentric retrieval,0.7,9.0,-8.7,-1.7,Elephant,0.96907203
20,39.0,egocentric retrieval,7.1,-7.0,-8.7,-1.7,Chicken,0.7956032
20,40.0,encoding,9.3,-5.9,2.7,-8.9,Camel,
20,40.0,encoding,-0.8,5.7,2.7,-8.9,Leopard,
20,40.0,egocentric retrieval,-0.8,5.7,2.7,-8.9,Leopard,0.8931201
20,40.0,egocentric retrieval,9.3,-5.9,2.7,-8.9,Camel,0.97497603
20,40.0,allocentric retrieval,9.3,-5.9,2.7,-8.9,Camel,0.98848501
20,40.0,allocentric retrieval,-0.8,5.7,2.7,-8.9,Leopard,0.8188682
20,41.0,encoding,7.6,-3.1,1.4,-4.0,Rhino,
20,41.0,encoding,1.5,8.2,1.4,-4.0,Elephant,
