Subject,TrialIdx,PeriodType,EncodingObjectPosition_X,EncodingObjectPosition_Y,EncodingPlayerStartingPosition_X,EncodingPlayerStartingPosition_Y,Object,Performance
30,1.0,encoding,-7.5,5.6,1.7,-1.0,Pig,
30,1.0,encoding,8.4,-2.7,1.7,-1.0,Bird,
30,1.0,allocentric retrieval,-7.5,5.6,1.7,-1.0,Pig,0.995918004
30,1.0,allocentric retrieval,8.4,-2.7,1.7,-1.0,Bird,0.94028206
30,1.0,egocentric retrieval,8.4,-2.7,1.7,-1.0,Bird,0.1388357999999999
30,1.0,egocentric retrieval,-7.5,5.6,1.7,-1.0,Pig,0.9012941
30,2.0,encoding,-0.1,7.4,7.6,0.0,Chicken,
30,2.0,encoding,-0.1,-5.7,7.6,0.0,Elephant,
30,2.0,egocentric retrieval,-0.1,-5.7,7.6,0.0,Elephant,0.7637962
30,2.0,egocentric retrieval,-0.1,7.4,7.6,0.0,Chicken,0.1409738999999999
30,2.0,allocentric retrieval,-0.1,7.4,7.6,0.0,Chicken,0.1430388999999999
30,2.0,allocentric retrieval,-0.1,-5.7,7.6,0.0,Elephant,0.7012753
30,3.0,encoding,7.1,2.2,6.9,-6.5,Sheep,
30,3.0,encoding,-6.2,4.7,6.9,-6.5,Camel,
30,3.0,allocentric retrieval,7.1,2.2,6.9,-6.5,Sheep,0.93671406
30,3.0,allocentric retrieval,-6.2,4.7,6.9,-6.5,Camel,0.991672008
30,3.0,egocentric retrieval,7.1,2.2,6.9,-6.5,Sheep,0.9010071
30,3.0,egocentric retrieval,-6.2,4.7,6.9,-6.5,Camel,0.8503892
30,4.0,encoding,-8.2,0.3,6.4,-7.4,Camel,
30,4.0,encoding,1.2,-5.9,6.4,-7.4,Elephant,
30,4.0,egocentric retrieval,1.2,-5.9,6.4,-7.4,Elephant,0.8900871
30,4.0,egocentric retrieval,-8.2,0.3,6.4,-7.4,Camel,0.8214762
30,4.0,allocentric retrieval,1.2,-5.9,6.4,-7.4,Elephant,0.98690201
30,4.0,allocentric retrieval,-8.2,0.3,6.4,-7.4,Camel,0.9991280009
30,5.0,encoding,-8.2,5.5,-8.0,-0.9,Pig,
30,5.0,encoding,-2.6,-3.0,-8.0,-0.9,Bird,
30,5.0,allocentric retrieval,-2.6,-3.0,-8.0,-0.9,Bird,0.92066008
30,5.0,allocentric retrieval,-8.2,5.5,-8.0,-0.9,Pig,0.95932504
30,5.0,egocentric retrieval,-8.2,5.5,-8.0,-0.9,Pig,0.8236662
30,5.0,egocentric retrieval,-2.6,-3.0,-8.0,-0.9,Bird,0.8549732
30,6.0,encoding,-8.3,-8.4,1.6,-7.3,Chicken,
30,6.0,encoding,7.0,1.6,1.6,-7.3,Sheep,
30,6.0,egocentric retrieval,-8.3,-8.4,1.6,-7.3,Chicken,0.4828964999999999
30,6.0,egocentric retrieval,7.0,1.6,1.6,-7.3,Sheep,0.8592401000000001
30,6.0,allocentric retrieval,7.0,1.6,1.6,-7.3,Sheep,0.97089703
30,6.0,allocentric retrieval,-8.3,-8.4,1.6,-7.3,Chicken,0.98824601
30,7.0,encoding,6.5,2.8,7.2,-8.7,Sheep,
30,7.0,encoding,-5.2,2.2,7.2,-8.7,Bird,
30,7.0,allocentric retrieval,6.5,2.8,7.2,-8.7,Sheep,0.93749006
30,7.0,allocentric retrieval,-5.2,2.2,7.2,-8.7,Bird,0.96315204
30,7.0,egocentric retrieval,6.5,2.8,7.2,-8.7,Sheep,0.991391009
